embed_dim,dropout,off_mae,def_mae,combined,n_params
32,"(0.3, 0.2)",6.104691505432129,6.041075229644775,6.072883367538452,8290
64,"(0.3, 0.2)",6.131979942321777,6.003962993621826,6.067971467971802,26690
128,"(0.3, 0.2)",6.100184917449951,6.005802631378174,6.0529937744140625,94210
32,"(0.4, 0.3)",6.170289993286133,6.040184497833252,6.105237245559692,8290
64,"(0.4, 0.3)",6.148532867431641,5.969669818878174,6.059101343154907,26690
128,"(0.4, 0.3)",6.062448978424072,5.96412467956543,6.013286828994751,94210
